1,127,0
3,348,0
372,409,0
6,37,0
67,207,0
55,34,0
6,180,0
39,237,0
27,186,0
235,38,0
2,15,0
301,262,0
288,34,0
17,312,0
31,447,0
370,402,0
303,10,0
34,26,0
1,1,0
510,510,0
503,5,0
5,503,0
80,21,0
96,221,0
274,210,0
283,40,0
487,25,0
479,135,0
339,212,0
61,136,0
12,23,0
46,302,0
43,134,0
390,326,0
294,94,0
381,238,0
83,199,0
73,293,0
65,358,0
36,81,0
82,192,0
112,291,0
298,341,0
262,114,0
433,394,0
349,124,0
78,139,0
72,267,0
173,333,0
268,358,0
371,316,0
498,18,0
441,139,0
53,316,0
211,436,0
52,321,0
18,41,0
69,248,0
178,265,0
201,230,0
183,173,0
187,58,0
207,379,0
171,499,0
184,474,0
463,424,0
238,304,0
262,350,0
113,321,0
56,114,0
37,205,0
28,274,0
137,317,0
24,337,0
154,224,0
70,95,0
27,90,0
125,21,0
147,49,0
141,88,0
107,140,0
165,93,0
5,227,0
35,301,0
95,360,0
145,387,0
203,392,0
204,416,0
256,498,0
503,199,0
482,7,0
14,7,0
93,6,0
153,70,0
64,264,0
17,20,0
86,51,0
281,50,0
377,107,0
457,167,0
