210,315,1
216,274,1
206,278,1
219,300,1
162,31,1
171,112,1
194,258,1
192,244,1
178,224,1
176,417,1
190,421,1
172,460,1
163,206,1
166,180,1
161,155,1
164,131,1
165,467,1
175,442,1
168,100,1
159,29,1
149,3,1
136,507,1
140,509,1
183,405,1
170,87,1
164,45,1
211,294,1
165,178,1
173,119,1
167,46,1
167,122,1
158,157,1
156,203,1
191,250,1
192,394,1
180,437,1
163,158,1
170,106,1
170,76,1
164,48,1
155,21,1
166,459,1
173,103,1
157,27,1
146,2,1
200,264,1
209,347,1
181,395,1
164,460,1
186,393,1
